,apca_1,apca_2,apca_3,apca_4,apca_5,apca_6,apca_7,apca_8,apca_9,apca_10,apca_11,apca_12,apca_13,apca_14,apca_15,apca_16,apca_17,apca_18,apca_19,apca_20,apca_21,apca_22,apca_23,apca_24
68_ADT,0.961485556,-1.05629936,1.156834685,-0.482763523,-0.436798538,-0.813105412,-0.358219348,-0.651943713,0.404675233,-0.050761975,0.008056925,0.176106801,-0.083575804,0.129727061,-0.875261062,-1.083975008,-0.4678881,-0.072315612,0.558704767,-0.199581413,-0.378894672,-0.097025042,-0.032561869,0.344783438
69_ADT,-2.646201936,1.584962059,-0.534048923,-0.036106877,-0.156062746,-0.180091566,-0.588389781,-0.43199,-1.072929355,0.060357847,0.785215956,-0.413427246,0.00504767,0.417520487,-0.313860855,0.130722189,0.355620859,-0.044110265,0.053538958,0.182220682,-0.169879691,-0.157165231,-0.176025806,-0.010320129
76_ADT,2.442114353,-0.796736637,0.896195313,-2.209422113,-0.708137501,-0.167503357,0.325375877,0.221712258,-0.162391498,0.163700716,0.16367517,0.297450884,0.33876826,-0.0373917,-0.281894757,-0.221379385,-0.009652966,-0.258506895,-0.211045727,-0.161133384,-0.125472252,-0.398839026,0.003428195,0.248289292
78_ADT,-2.933059396,2.333248973,-0.357023367,0.03672682,-0.814795525,0.413318073,-0.813460296,0.294074216,0.501729344,-0.115986006,0.588166102,0.675638539,-0.141978064,-0.179585333,-0.049861229,0.064945944,-0.224479143,0.263024046,-0.108720742,0.0873024,0.03994882,-0.386223104,0.323209258,-0.455233518
93_ADT,-2.67787357,1.23125506,-0.220381777,0.074515723,0.333998453,0.235066563,0.308204403,0.641865548,0.659430747,-0.370522446,0.517423695,0.344220477,0.72911161,-1.021971687,0.605101915,-0.568973147,-0.736462535,0.20385689,1.200101506,0.332418074,-0.131947044,-0.64774377,-0.89096318,0.337020069
101_ADT,-2.356708169,0.626467291,0.590581528,-0.692391992,0.393872442,-0.56026473,-1.27361016,-0.208563628,0.715157897,-0.318146508,0.725573584,-0.45094446,-0.192181633,0.13899983,-0.052982239,0.787849078,0.704240396,-0.083497097,0.092039385,0.095667996,-0.092708133,0.183616251,-0.463190118,0.398079952
104_ADT,3.430546126,2.601176067,-0.615768354,2.047042249,-0.644148142,0.124021408,0.792866848,-0.01870518,1.343849726,0.743763299,0.261030343,0.591113026,0.201096269,-0.062389103,-0.375976451,0.394357485,0.313881155,0.453968998,-0.192540324,-0.145335389,0.054349886,-0.1484802,0.047682129,0.125813514
107_ADT,3.533611373,0.288511995,-0.89794434,-0.105817433,1.119003109,0.191052722,-0.416906063,-0.24277661,0.591739124,-0.638684416,-0.754451616,0.276415153,-0.258019066,-0.280451612,-0.242915901,-0.147531159,-0.284698974,-0.388193105,0.111247167,-0.404408294,0.020006499,-0.286460032,0.02859191,0.087892177
108_ADT,-1.20797976,-3.004169765,-0.970702846,0.615466763,-1.234396797,0.778885405,0.407260741,0.415137867,-0.806437227,0.711382415,-0.819109067,0.058782389,-1.219947027,0.562833312,-0.078951664,0.106303878,0.029942,0.457540016,-0.038083359,-0.758157223,-0.12342761,-0.122558626,0.505283238,-0.156071187
123_ADT,2.302451413,-1.069383777,0.419462108,-2.790157019,-0.890189012,0.118027817,0.513025423,-1.463777947,-0.298414547,-1.158276214,-1.674110626,-0.38652241,1.004389441,0.123488085,-0.158685598,0.252475879,-0.076983961,-0.691576964,-0.378432458,0.160590377,0.213928254,-0.536099278,-0.252171804,0.101262615
124_ADT,-2.708967128,1.940244488,-0.130887022,-0.868639387,-0.787875894,0.520062356,-0.677639479,-0.230070172,-0.398285082,0.321762324,-0.140323609,-0.084652953,-0.659483727,0.220822559,-0.059788204,0.093868175,0.194733499,-0.27999441,0.209810397,0.153023255,-0.164017798,-0.252747255,-0.018535476,-0.197727083
127_ADT,-3.546584776,2.515790019,-0.339799733,-0.132981993,-0.50992158,0.597336349,-0.620865719,0.52474267,0.219872984,-0.378532419,0.58739691,-0.13520591,-0.363006017,0.145602135,-0.292864125,-0.298540001,-0.376537404,-0.170064443,0.215468231,-0.149514742,0.123244241,-0.423723724,0.283074965,-0.497918005
128_ADT,3.204299596,0.556828704,-0.92389241,0.099424172,1.526473872,0.620115547,-0.391186526,-0.441032723,-0.554375345,0.185422364,-0.266424317,0.061978859,-0.351864026,-0.035544406,0.265179925,0.283718851,0.332757709,0.092361385,0.166831985,0.485940504,0.264422439,0.100595583,-0.441056719,-0.104117979
129_ADT,3.275135419,2.192499041,-0.442580106,1.557766749,-0.007934891,0.305642523,-0.319668558,1.211879434,-0.328849695,-0.197570036,-0.054423526,0.307350173,-0.051533699,-0.629183277,0.641239834,0.799840667,-0.078208559,-0.856947183,-0.009255175,-0.374091303,-0.179962421,0.158184437,0.187937967,0.109939092
136_ADT,3.062851122,0.192195089,-0.382199603,-0.378616795,1.382767475,0.545588152,-1.034429469,0.040405016,0.47348307,0.009045883,-0.328405758,-0.474032519,-1.276833425,0.004668683,-0.098921084,0.679213828,0.321160305,-0.502649825,-0.267475997,-0.327344994,0.166373988,-0.160507653,-0.149273608,-0.250698911
137_ADT,-2.065469374,-1.67491315,6.980023687,3.27114655,1.806059555,0.557768911,-1.015028118,-0.668800961,-0.330613423,0.863118024,-0.042082725,0.027669587,0.230152951,-0.127191776,0.235132973,0.444792957,0.27789118,-0.217783253,-0.379470881,-0.09987332,0.202964974,-0.030556065,0.045366502,-0.267419056
147_ADT,1.928268864,0.272369538,3.146831603,1.752279864,-2.603217471,-0.239641697,2.539143477,-1.967949339,1.107479152,0.233088943,0.638637125,-1.13971259,-1.090975782,-0.520197534,0.370559132,-0.924359838,-0.05300608,0.98351648,0.376756663,0.585193896,0.330216684,0.265325105,0.194413153,0.404853297
148_ADT,2.814288393,-0.798174941,0.723849085,-1.910049728,-0.044203965,0.108957702,0.252946098,-0.041583545,-0.8025517,0.479334035,0.542551906,-0.055814992,0.915626996,0.447469097,-0.243493769,-0.421773005,-0.373591477,-0.863073235,-0.175783263,-0.486922394,-0.099234558,-0.436594475,0.173585146,0.106265137
151_ADT,2.693148206,2.068281462,-0.326748376,1.985194845,-0.754371842,-0.256338767,1.199871547,-0.578799435,1.186079758,0.703670195,-0.123829764,-0.019722076,-0.750283913,0.070976168,-0.250811393,0.156395919,-0.066419948,0.553036287,0.038541329,-0.319365101,-0.351076902,-0.189676459,0.327819675,0.458527943
155_ADT,3.554605844,2.819471805,-0.599945467,0.960196551,-0.402803,0.652766793,1.092318702,0.281721713,0.32273239,0.438733869,-0.547496858,0.626138737,-0.494897339,-0.619765762,-0.576999657,0.993994692,0.324842664,0.165251615,-0.174231687,-0.139648883,-0.028082633,0.257712491,0.258318428,0.03478355
