,0,1,2,3,4,5,6,7
206_RNA,0.1182,-0.1028,0.2068,-0.1275,-0.0436,-0.2224,0.0081,-0.2624
207_RNA,1.2103,0.4568,0.221,0.6312,-0.1896,-0.4926,-0.413,-0.7515
208_RNA,-0.3259,-0.3961,-0.3842,-0.2739,-0.208,1.1588,0.6109,0.0488
209_RNA,-0.1728,-0.5408,-0.0934,-0.2816,-0.0907,0.924,0.3686,0.1374
210_RNA,-0.6088,-0.1488,0.2763,-0.0405,0.331,0.9068,0.6668,0.3718
211_RNA,-0.5367,-0.5181,0.0634,0.1019,0.3221,0.5263,0.3577,0.5379
212_RNA,0.1806,0.195,0.055,0.3121,0.1003,-0.3251,-0.3014,-0.1603
213_RNA,0.9234,-0.0336,-0.0958,0.0459,-0.0179,-0.4472,-0.2712,-0.3822
214_RNA,-0.8628,-0.482,0.3274,-0.0252,0.1538,0.7448,0.6284,0.4862
215_RNA,0.3856,0.2654,-0.1145,0.2339,0.1758,-0.4686,-0.2521,-0.3673
216_RNA,-0.094,-0.3798,-0.1344,-0.3496,-0.2406,0.9328,0.2677,-0.0714
217_RNA,0.2618,0.0779,0.0846,0.0473,-0.2126,-0.5826,0.012,-0.2188
218_RNA,-0.1541,-0.5365,-0.0718,-0.2444,-0.0992,0.7327,0.1757,0.2028
219_RNA,0.8038,0.2573,0.0859,0.2839,-0.0623,-0.2998,-0.3162,-0.3044
220_RNA,0.5334,-0.1702,0.3893,-0.4681,0.0457,-0.2787,0.12,-0.1933
221_RNA,-0.5205,-0.0839,0.3453,-0.0771,0.1592,0.6633,0.6402,0.3898
222_RNA,-0.4072,-0.3622,0.1596,-0.0907,0.5266,0.7005,0.4224,0.4596
223_RNA,-0.0612,-0.0365,-0.2551,-0.0477,0.0435,0.338,0.1859,0.0455
224_RNA,-0.6526,-0.717,0.3847,0.172,0.3761,0.5659,0.6146,0.5257
225_RNA,-1.0687,-0.5667,0.283,-0.0917,0.1032,0.5845,0.6777,0.649
226_RNA,0.2909,0.4445,0.3413,0.4826,-0.3364,-0.7688,-0.532,-0.5286
227_RNA,0.3864,-0.1345,0.3313,-0.2793,0.0084,-0.3053,0.155,-0.165
228_RNA,0.7686,0.2731,-0.0003,0.1136,-0.1229,-0.6908,-0.4022,-0.2615
229_RNA,0.444,0.2811,-0.1933,0.3386,-0.2368,-0.6664,-0.2661,-0.2312
230_RNA,-0.644,-0.2643,-0.084,-0.3039,0.0572,0.8151,0.4913,0.5811
231_RNA,0.614,0.223,0.1249,0.1934,0.0318,-0.1419,-0.2799,-0.1386
232_RNA,0.4962,0.2707,-0.09,-0.0003,-0.0102,-0.6229,-0.5432,-0.0641
233_RNA,-0.6623,-0.2293,0.474,0.0631,0.0452,0.835,0.5771,0.3114
234_RNA,-0.683,-0.5406,-0.1478,-0.2152,0.3107,0.7162,0.7161,0.4635
235_RNA,0.3093,-0.1616,0.4955,0.4386,-0.4729,0.2038,-0.1601,1.0073
236_RNA,0.6945,-0.0773,0.2605,-0.2948,-0.04,-0.6086,0.1723,-0.03
237_RNA,-0.4801,-0.173,0.4359,-0.5672,-0.2349,0.3357,0.3718,0.6488
238_RNA,-0.6114,-0.5395,-0.1804,-0.1944,0.0733,0.5675,0.7413,0.5792
239_RNA,-0.2031,-0.2687,0.4511,0.0842,-0.202,0.0649,-0.427,0.4337
240_RNA,-0.7983,-0.555,-0.1102,0.1156,0.5576,0.7082,1.0036,0.6873
241_RNA,0.4513,0.124,0.06,0.2361,0.0781,-0.2166,-0.2559,-0.2529
242_RNA,0.2624,-0.075,0.3474,-0.3838,-0.0971,-0.2161,-0.0138,-0.292
243_RNA,0.852,0.1448,-0.0824,0.4016,-0.2702,-0.5425,-0.2747,-0.5761
244_RNA,0.8143,0.211,0.1389,0.2869,-0.0087,-0.6431,-0.8773,-0.463
245_RNA,0.5588,0.0973,0.1672,0.2613,-0.0036,-0.1811,-0.2208,-0.2856
246_RNA,-0.3832,-0.6564,-0.1679,-0.3271,0.0067,0.7033,0.4067,0.472
247_RNA,-0.7471,-0.449,0.2318,0.1349,0.2965,0.5649,0.6236,0.5659
248_RNA,-0.4896,-0.3919,0.7439,-0.0344,-0.3281,-0.0152,-0.9046,0.617
249_RNA,0.1291,-0.4084,0.2611,-0.0736,-0.2737,-0.0914,0.0075,-0.3451
250_RNA,-0.6755,-0.5262,-0.1538,-0.2892,0.1678,0.71,0.3268,0.6149
251_RNA,0.4588,-0.2224,0.4407,-0.4548,-0.1099,-0.3265,0.0949,-0.4181
252_RNA,0.4274,0.3503,0.0879,0.0648,-0.0513,-0.4767,-0.5013,-0.1804
253_RNA,0.3796,0.5212,-0.1283,-0.0131,-0.0411,-0.4364,-0.2913,0.0498
254_RNA,0.9559,0.6399,0.1236,0.5223,-0.0613,-0.6753,-0.5383,-0.7269
255_RNA,0.3405,0.1927,-0.0047,0.3236,-0.0708,-0.3992,-0.2285,-0.3862
256_RNA,-0.0324,-0.3142,0.0315,0.7481,-0.6051,0.1922,-0.5271,0.6178
257_RNA,0.5104,0.4837,-0.0878,0.3362,0.1034,-0.4559,-0.3226,-0.2487
258_RNA,-0.6451,-0.4555,0.3889,0.3632,-0.3257,0.0877,-1.1819,0.6261
259_RNA,-1.1834,-0.4852,0.4201,-0.1779,0.3557,0.6136,0.8344,0.8277
260_RNA,0.6081,0.1563,-0.2356,0.2148,-0.346,-0.9068,-0.3291,-0.4453
261_RNA,-0.8402,-0.5624,0.2196,-0.2059,0.5276,0.5153,0.7474,0.7089
262_RNA,0.5321,0.2697,-0.0205,0.0936,-0.1161,-0.6158,-0.1722,-0.087
263_RNA,0.3488,0.0938,-0.0987,0.2125,-0.4538,-0.7186,-0.023,-0.3102
264_RNA,-0.7382,-0.5123,0.2367,0.1279,0.193,0.6905,0.4207,0.5962
265_RNA,-0.3583,-0.1854,0.071,-0.1617,0.0805,0.1878,0.4813,0.373
266_RNA,-0.6028,-0.073,0.3506,-0.1729,0.1416,0.5365,0.0729,0.3399
267_RNA,0.5279,0.3525,0.0234,0.0836,-0.2743,-0.6442,-0.4576,-0.3808
268_RNA,0.136,0.0183,0.1057,0.2002,-0.0129,-0.3799,-0.314,-0.0485
269_RNA,0.34,0.5836,0.329,0.473,0.0207,-0.7251,-0.8073,-0.4247
270_RNA,-0.6637,-0.283,0.2204,-0.0901,0.1127,0.4627,0.5482,0.454
271_RNA,-0.6451,-0.4191,0.1481,0.0082,0.1387,0.4801,0.5028,0.5238
272_RNA,0.6087,0.204,0.0299,0.065,0.0842,-0.1912,-0.3073,0.0359
273_RNA,0.6004,-0.4284,0.4727,-0.6429,-0.1443,-0.3413,0.1099,-0.3556
274_RNA,0.6687,0.1237,0.3832,-0.2319,0.0165,-0.4336,0.0425,-0.0148
275_RNA,0.5924,-0.2882,0.5351,-0.7345,-0.1794,-0.2871,0.0421,-0.2722
276_RNA,-0.3378,-0.2231,0.0022,-0.0797,0.2667,0.3326,0.6555,0.2715
277_RNA,0.5105,-0.1763,0.46,-0.5253,-0.0008,-0.2586,0.1089,-0.187
278_RNA,0.3736,-0.2606,0.3155,-0.4281,0.0114,-0.1873,0.0314,-0.2736
279_RNA,0.3097,0.149,0.2153,0.2649,0.0128,-0.1362,-0.1333,-0.2942
280_RNA,0.4865,0.4314,-0.1764,0.0804,-0.0514,-0.6863,-0.6085,-0.2204
281_RNA,0.3206,-0.2544,0.3702,-0.2979,0.0184,-0.3335,0.0934,-0.2818
