,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,LSI_13,LSI_14,LSI_15,LSI_16,LSI_17,LSI_18,LSI_19,LSI_20,LSI_21,LSI_22,LSI_23,LSI_24,LSI_25,LSI_26,LSI_27,LSI_28,LSI_29,LSI_30,LSI_31,LSI_32,LSI_33,LSI_34,LSI_35,LSI_36,LSI_37,LSI_38,LSI_39,LSI_40,LSI_41,LSI_42,LSI_43,LSI_44,LSI_45,LSI_46,LSI_47,LSI_48,LSI_49,LSI_50
11_ATAC,-0.410960456,0.796375002,-0.332230132,0.855633704,-0.115538292,-0.165250259,-0.171572922,0.518034819,-0.711376047,0.844394599,-0.570555245,0.26505275,0.078491108,-0.116110146,0.179088014,0.072145202,-0.762105158,0.71617842,1.011449725,-0.273536263,-0.192026723,-0.566551863,-0.631619784,0.123601176,-0.077582451,-0.6053263,0.004354584,0.31787152,-0.812031505,0.423571654,0.399489498,0.147127955,0.406247451,-0.503266266,0.296873531,0.495600718,0.526050175,1.005668062,-0.785421392,-0.30061493,-1.002566349,-0.42623244,-0.440549238,0.090573501,0.240621157,0.022140501,0.081289763,-0.073980155,-0.145567561,0.222192463
12_ATAC,-0.238655765,0.647185595,-0.16510251,-3.089455839,0.262153382,-1.228564621,-0.353225447,0.032229198,-0.171362847,0.616628194,-0.458342402,0.194418733,0.188456422,0.212010898,-0.139853138,0.086444375,-0.261359564,-0.206141151,-0.935440146,0.829447449,0.778760506,2.868643096,-1.161947296,-1.367329014,0.274283457,0.237591002,-0.824650664,-0.008897746,0.001229056,0.189604684,0.290849916,0.763129654,-0.161513993,-0.165745235,-0.161863484,0.359834348,0.590274453,0.398917023,-0.088503324,-0.247975865,-0.467466148,0.21386857,-0.628606786,0.047035585,-0.433658442,0.554576983,0.250994926,-0.144400847,-0.335381412,0.464279468
13_ATAC,-0.137323403,-1.414183187,-0.388573924,-0.020598184,-0.457022301,-0.109756822,0.714956989,0.306515532,-1.24619726,-1.452482044,-0.486669213,-0.422349338,-0.714677199,0.65422018,-0.54403398,-0.590327204,0.011200437,1.057245481,-0.957479405,0.03433851,0.260631177,-0.616080249,0.113206647,-0.247598962,-0.98759353,2.954919249,2.577675213,-3.278778488,-1.039840397,-1.249212751,0.841147312,-0.382836385,-1.610976621,-0.530289558,0.565452077,-1.758636918,1.037813172,-0.364682708,1.233758659,-1.126646979,0.124979777,1.15543842,0.278265327,0.225972259,0.497038838,0.300177787,2.415698317,0.263047337,1.812640754,0.585498909
14_ATAC,1.891116253,1.176445109,-0.489366245,1.307501993,0.615583398,-0.066909042,-0.054052364,-1.100451915,2.286695305,0.009801542,-2.186346328,-0.253353461,-0.384338215,-1.557119993,-0.509416871,-0.940103202,0.551132293,-0.609669641,-0.289184102,0.026478265,-0.294004077,-0.986814481,0.893217852,-1.428389364,-0.061354632,1.148110963,1.219902283,0.160215881,1.043757039,-0.900975084,0.640728451,-0.452356873,0.192103768,1.444190245,-1.01626762,-1.527895614,-1.008252021,-0.879573866,1.198261427,-0.273552338,0.637881448,0.590111367,1.028164086,-0.024639331,-0.029110807,-0.079321037,0.388254739,0.349201135,0.331414785,0.142935067
15_ATAC,1.079889957,-1.784075336,-0.601024294,0.074381059,-0.678544567,-0.50644733,1.962917147,-0.240509232,-0.949945672,-2.361828311,-1.262936199,-0.625613458,0.584541538,0.611338382,0.521903413,1.49067252,-1.123227941,-0.767668876,-1.06949794,1.348919702,-0.518975281,-1.07092023,-0.332721075,-0.738212195,0.026538609,0.70898982,-2.088431454,-1.607672722,-0.49649831,1.523208429,-1.087456052,0.171513901,0.523685584,0.730426734,-0.812235571,-0.973996008,1.12377779,1.100213718,0.023480172,1.82906229,1.037778033,2.72776713,-0.277216059,-0.573640736,-1.231649416,1.849922692,-0.391280384,1.758433828,2.801322923,0.319787949
16_ATAC,-0.173199654,0.75832383,-0.247398209,0.08556944,-0.340755229,1.107591901,0.463111897,0.165087552,0.003917181,1.33249383,0.031362638,0.325843362,-0.286203219,0.022193449,0.36242007,-0.31337021,-1.157810377,-0.759238415,2.249313559,0.883980962,-0.190925172,-1.292191341,-0.061899969,-1.153803099,-0.419426103,0.65289365,0.328286244,-0.16657762,0.64205442,-0.254184788,0.286021776,0.416461981,-0.301269348,0.05461477,-0.119519166,0.124294793,-0.36688957,-0.640520641,-0.607647239,0.368458323,0.14089674,-0.184451503,-0.190507767,-0.402701637,-0.04753085,-0.37539451,0.221668454,-0.326796928,-0.165690389,0.25618882
17_ATAC,1.833777138,-0.588690312,-0.502075104,0.811104708,0.032833796,-0.496663359,0.270552123,-0.747663187,0.930596036,0.40557358,-0.9271135,0.44176082,0.672141799,-0.294251298,-1.957378338,-0.19672253,0.532045813,0.245070909,-0.49590769,0.260758518,0.072645576,0.452014508,0.304688647,0.108286562,-0.196273807,1.085102037,-0.63849908,0.06045618,0.830433945,-0.406270184,-0.452918776,-0.282648075,-1.489581266,-0.163384793,0.014274071,1.246793525,-0.132068172,1.365204906,-0.505886923,0.183804958,1.007534967,0.171528803,-0.824598804,-0.229424692,0.843650247,-1.381194876,1.285824862,0.740699797,-0.093034203,0.490672601
18_ATAC,0.649246758,-1.490315462,-0.408783243,0.089595059,-0.186766966,-0.43611764,1.089110196,0.154695262,0.115871435,-0.078825386,-0.326632216,-0.024302753,0.698764004,-0.012019268,0.956306094,1.141032692,-0.33137495,-0.447037616,0.358820222,0.021767946,-0.274426241,1.691293397,1.689176587,0.266016473,-0.825203717,-1.913473657,-2.133813289,-0.772384062,1.594553078,0.547734803,-0.356507379,0.382213284,-0.014397901,-0.504485296,-0.203086936,0.543352119,-1.858164638,-2.276745423,0.57148393,0.327125239,-0.909936725,-2.890033133,-0.515971937,-0.921168335,0.818934777,-0.352886646,1.007846482,0.297676521,-1.541105414,0.330376672
19_ATAC,0.511780807,-1.369368322,-0.090208659,-0.033064315,-0.057838383,0.752035988,-3.055320935,1.862773819,1.043728933,-0.761611804,-0.194296454,-0.376534519,-0.299826076,0.058459503,0.625710709,0.414683782,-0.840949244,-0.777002852,0.801861494,0.476520438,0.13551975,0.949280798,1.219249469,0.860863681,-0.451286323,0.549082362,-0.835573621,1.810860801,0.392063456,0.902124313,-0.464399675,-1.434537778,-2.099367657,2.424106142,0.685402232,0.074414021,-0.34121145,-1.546247472,-0.100322802,-2.671905505,-1.337460185,2.029662924,0.336484848,1.454744985,0.15039016,-1.693520764,0.617166277,0.507806043,-1.350450611,1.921149982
20_ATAC,-1.09968781,0.482824575,-0.109755536,-2.498739277,0.262973374,-1.620486369,-0.493856956,0.092660023,-0.484425346,1.489677404,-1.028509185,-1.482683805,-0.25156647,1.506045633,0.614490383,0.159964942,0.134306453,-0.347951185,0.007265359,-0.89288558,0.095395289,0.450502333,-0.095698104,0.307904087,-0.444578841,-0.341486099,-0.112697971,0.085918871,-0.01281142,-0.713461305,-0.167734431,-0.69584602,-0.007114124,0.538191228,-0.121839897,0.032265886,0.016303551,0.022188764,-0.199901248,-0.7519269,0.048662305,-0.365955783,0.150792778,-0.413385235,0.192696524,-0.461975276,-0.233262091,0.356774461,-0.179258435,-0.387418153
